no,sentence,sentiment,source,location,Confidence,Positive Score,Negative Score,Reason / Notes,Aspect(s),Risk Type(s),Traveller Suitability,Hotel Improvement Insight
442,If instant booking you have to wait until 6pm ?baru boleh masuk,neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
443,"I'm really impressed that this hotel has a quiet zone, they accommodated to my request of high floor and quiet room. While it's nowhere as fancy or well-equipped as Sunway Resort, I appreciate the cleanliness and attentiveness of housekeeping. The fact that it's linked to the mall (many food and shopping options) made it worthwhile.",neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,Location; Cleanliness; Breakfast/Food,Cleanliness Risk,Suitable for convenience-focused travellers; Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness"
444,"Worth for money, most are provided, even hair dryer, iron n ironing board, but iron not working. No tea/coffee bags. Room is clean. Have 24 hours mini mart and restaurants downstairs.",neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,4.05,5.4,Mixed/acceptable wording; positive: clean; negative: not working,Cleanliness,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
445,"Stay was ok but management need to relook into the lift system. It’s hard to take lift when you are in the mid level as it’s always full. In order to go down, we will need to take the lift gg up, if not we will need to wait for 20mins just to go down.",neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0.5,0,Mixed/acceptable wording; positive: ok,Facilities; Accessibility,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
446,If some customer want to rent this pls concern a lot. You must to have a checklist room when customer check-in and your employee go to check together because when have something wrong you will charge from customer. And then that is occur to our that look like scammer because we don’t know about check when we arrived. And something wrong in room don’t have convincing evidence and we can’t go to see it. have a ink on blanket and definitely we haven’t pen or something included ink.,neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
447,"Bilik sy sbnrnya bilik express tp sbb sy smpi KL Sentral hmpir pkul 6.00pg staf kta bilik sy xde tu dia upgrade jd eksekutif room.Rezeki sy. ..Tu dpt view menara 118 dgn lrt...bilik luas...puas ht...jln kaki 2 min dr KL Sentral smpi dh hotel.Area hotel byk kedai mkn...Kedai mamak Bistro,econsave,dobi dll...smua dkt..klo smpi lewat mlm pn x tkut sbb ramai org...check out pkul 1.00 ptg.Okla.Spe nk bg.Biasanya check out pkul 12.00 tgh hr.Bilik ada tv ada channel kartun dn movie,ada fridge..jika ada rezeki nnt sy dtg lg...",neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,0,Mixed/acceptable wording,Location; Facilities; Breakfast/Food,Facility/Maintenance Risk,Suitable for convenience-focused travellers,Improve room facilities and maintenance
448,I am happy to stay there,neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
449,Okay lah hotel dekat dengan makanan viral,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
450,Terbaikkkk.. Semua nya ok,neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0.5,0,Mixed/acceptable wording; positive: ok,General,No major risk detected,General traveller suitability,No major improvement issue detected
451,"Staff was so rude (the skinny guy at receptionist), hotel out of electricity on the first day & out of water on the 2nd day.",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.4,0.44,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service, Facilities.","Staff / Service, Facilities",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
452,yes sabrina,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
453,The shower drainer never clean. Water difficult to flow through. Mattress sunk in . Room without window with moisture smell,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,3,2,Mixed/acceptable wording; positive: clean; negative: difficult,Cleanliness; Facilities; Comfort/Noise,Cleanliness Risk; Facility/Maintenance Risk,Not ideal for cleanliness-sensitive guests,"Improve room, linen and towel cleanliness; Improve room facilities and maintenance"
454,"Overall happy to stay here, would come and stay here again",neutral,Agoda,"Centrestage Petaling Jaya by Perfect Host, P-G-05 No, 1, Jalan 13/1, Seksyen 13,46200 Petaling Jaya, Selangor., Petaling Jaya, Kuala Lumpur, Malaysia, 46200",medium,0,0,Mixed/acceptable wording,General,No major risk detected,General traveller suitability,No major improvement issue detected
455,samia is a good host,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service.",Staff / Service,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
456,Not gest friendly,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.44,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Staff / Service.",Staff / Service,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
457,"Superior room was good enough for the price, with controllable aircon, strong and consistent shower. Room is tight and my room condition was acceptable. But must have room cleaning sign displayed for room to be cleaned daily and supplies filled. Bottle water not given automatically while there's water dispenser at lift lobby. Sound insulation is low. Check-in an out was fast.",neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,2.5,0,"Mixed/acceptable wording; positive: acceptable, good",Service; Facilities; Accessibility,Facility/Maintenance Risk; Service Risk,General traveller suitability,Improve room facilities and maintenance; Improve front desk/staff service training
458,Moinul,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
459,"Car Park a bit screw out, should reserve slot for hotel guests!",neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,0,0,Mixed/acceptable wording,Parking,Parking Risk,General traveller suitability,Improve parking information or parking availability
460,Very crowded with very long queue for the lift,neutral,Agoda,"Jalan Bukit Bintang, Agile Bukit Bintang, Bukit Bintang, Kuala Lumpur, Malaysia, 55100",medium,0,1.5,Mixed/acceptable wording; negative: crowded,Facilities; Accessibility,Facility/Maintenance Risk,General traveller suitability,Improve room facilities and maintenance
461,I booked for a night in this place and it was just a fine experience. The girl receptionist at night wasn’t that welcoming as she seems too tired for that day. But the guy in the morning named “Naim”(I guess that’s his name) he’s helpful. The room is just okay. Not that spacious but the bed is comfortable. The AC and shower just works fine. No toiletries available and you even need to fetch water from the water dispenser outside your room. Worst case is you can hear the voice from the other room.,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.46,0.4,"Mostly factual, mixed, or weak emotional wording; main topic(s): Cleanliness, Staff / Service, Facilities, Room Comfort.","Cleanliness, Staff / Service, Facilities, Room Comfort",Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
462,"If you are coming for Holiday then you will not like it, if you are coming for 1 night and you want the location then it can be fine",neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): Location.",Location,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
463,"Kedudukan yang baik dan mudah akses dengan grab, LRT dan sebagainya.",neutral,Agoda,"Jalan Thambipillay, Kuala Lumpur Sentral, Kuala Lumpur, Malaysia, 50470",medium,0,0,Mixed/acceptable wording,Location,No major risk detected,Suitable for convenience-focused travellers,No major improvement issue detected
464,Velue,neutral,agoda,Swing & Pillows - Sungei Wang Bukit Bintang,high,0.42,0.42,"Mostly factual, mixed, or weak emotional wording; main topic(s): General Experience.",General Experience,Low Risk / Informational,Suitable for travellers who need basic accommodation and will check details before booking.,Monitor this feedback and clarify hotel information where needed.
465,This hotel scammed us they never mentioned any deposits first then when checking in they did not accept any card payment so we were unable to check in after 4 hours of frustration neither refunded or cancelled remaining booking which was a 3 night booking with full payment,neutral,Agoda,"THE PLATINUM SUITES ,1020 Jalan Sultan Ismail, 50250 Kuala Lumpur, Kuala Lumpur City Centre, Kuala Lumpur, Malaysia, 50250",medium,0,0,Mixed/acceptable wording,Service,Service Risk,General traveller suitability,Improve front desk/staff service training
466,Not bad with 2 breakfast. The parking is not free though unfortunately.,neutral,Agoda,"Persiaran Lagoon, Bandar Sunway, Kuala Lumpur, Malaysia, 47500",medium,2,4.5,"Mixed/acceptable wording; positive: not bad; negative: not free, bad",Parking; Breakfast/Food,Parking Risk; Breakfast/Food Risk,General traveller suitability,"Improve parking information or parking availability; Improve breakfast menu, quality or service"
